productId,name,category,subcategory,day,simulatedPrice
6nSEgUryjqDboXGqkosN,asdcasdcasdcar,unknown,unknown,1,1111.00
6nSEgUryjqDboXGqkosN,asdcasdcasdcar,unknown,unknown,2,1111.00
6nSEgUryjqDboXGqkosN,asdcasdcasdcar,unknown,unknown,3,1111.00
6nSEgUryjqDboXGqkosN,asdcasdcasdcar,unknown,unknown,4,1111.00
6nSEgUryjqDboXGqkosN,asdcasdcasdcar,unknown,unknown,5,1111.00
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,1,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,2,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,3,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,4,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,5,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,6,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,7,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,8,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,9,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,10,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,11,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,12,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,13,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,14,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,15,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,16,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,17,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,18,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,19,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,20,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,21,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,22,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,23,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,24,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,25,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,26,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,27,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,28,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,29,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,30,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,31,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,32,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,33,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,34,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,35,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,36,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,37,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,38,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,39,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,40,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,41,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,42,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,43,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,44,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,45,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,46,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,47,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,48,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,49,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,50,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,51,779.99
EGES94biUYRxXCdIbM5d,Wooden Dining Table,unknown,unknown,52,779.99
